Район,Количество камер
Дмитровский район,176
район Аэропорт,183
район Беговой,104
Бескудниковский район,119
Головинский район,152
район Коптево,226
район Западное Дегунино,152
район Восточное Дегунино,121
Войковский район,127
район Ховрино,120
район Левобережный,50
Хорошёвский район,137
Молжаниновский район,4
Тимирязевский район,202
Савёловский район,131
район Сокол,80
Ярославский район,109
Алексеевский район,170
район Марьина Роща,161
район Марфино,54
Бутырский район,117
район Бибирево,192
район Лианозово,95
район Северное Медведково,115
Останкинский район,138
Алтуфьевский район,87
Лосиноостровский район,162
Бабушкинский район,199
район Свиблово,121
район Северный,37
район Отрадное,160
район Южное Медведково,113
район Ростокино,73
район Митино,262
район Северное Тушино,138
район Щукино,207
район Покровское-Стрешнево,121
район Куркино,87
район Строгино,192
район Хорошёво-Мнёвники,300
район Южное Тушино,151
Пресненский район,471
Басманный район,391
район Арбат,81
Мещанский район,199
район Замоскворечье,179
Тверской район,243
Красносельский район,107
Таганский район,266
район Хамовники,290
район Якиманка,67
Донской район,101
район Москворечье-Сабурово,66
Нагорный район,135
район Бирюлёво Восточное,130
район Орехово-Борисово Южное,139
район Царицыно,205
район Зябликово,94
район Бирюлёво Западное,43
район Братеево,81
район Орехово-Борисово Северное,100
Даниловский район,220
район Чертаново Южное,103
район Нагатино-Садовники,90
район Нагатинский Затон,75
район Чертаново Северное,45
район Чертаново Центральное,73
Южнопортовый район,124
район Выхино-Жулебино,367
Рязанский район,283
район Печатники,123
район Кузьминки,375
район Марьино,336
район Лефортово,215
район Некрасовка,14
район Люблино,354
Нижегородский район,139
район Текстильщики,270
район Капотня,47
район Коньково,198
Академический район,114
Гагаринский район,71
район Ясенево,162
район Северное Бутово,92
Обручевский район,99
район Тёплый Стан,390
район Котловка,135
район Зюзино,221
Ломоносовский район,139
район Черёмушки,160
район Южное Бутово,285
район Восточное Измайлово,142
район Гольяново,246
район Перово,239
район Северное Измайлово,150
район Измайлово,191
район Богородское,174
район Косино-Ухтомский,70
район Сокольники,113
район Новогиреево,123
район Преображенское,140
район Метрогородок,67
район Ивановское,135
район Вешняки,146
район Новокосино,180
район Восточный,48
район Соколиная Гора,183
район Ново-Переделкино,83
район Внуково,42
район Очаково-Матвеевское,202
район Проспект Вернадского,87
Можайский район,237
район Солнцево,172
район Кунцево,226
район Тропарёво-Никулино,65
район Крылатское,63
район Раменки,156
район Филёвский Парк,132
район Дорогомилово,113
район Фили-Давыдково,175
район Силино,18
район Крюково,66
район Матушкино,53
район Савёлки,9
район Старое Крюково,6
поселение Первомайское,60
поселение Московский,162
поселение Внуковское,99
поселение Воскресенское,34
поселение Десеновское,37
поселение Кокошкино,56
поселение Марушкинское,23
поселение Рязановское,107
поселение Филимонковское,46
поселение Щербинка,218
поселение Роговское,17
поселение Троицк,155
поселение Щаповское,34
поселение Вороновское,40
поселение Киевский,19
поселение Кленовское,15
поселение Михайлово-Ярцевское,32
поселение Новофедоровское,27
поселение Краснопахорское,20
